"","ID","season","name","team","position","situation","games_played","icetime","shifts","iceTimeRank","expectedGoals","corsi","shotAttempts","points","goals","faceoffsWon","takeways","giveaways","hits"
"61",8478438,2022,"Tommy Novak","NSH","C","5on4",51,7606,103,202,0.79,0.84,43,11,5,8,1,1,2
"62",8475167,2022,"Victor Hedman","TBL","D","5on4",76,11443,148,103,0.86,0.86,60,14,1,0,5,9,4
"63",8476326,2022,"Josh Archibald","PIT","R","5on4",62,167,12,115,1,1,1,0,0,0,0,0,0
"64",8479390,2022,"Taylor Raddysh","CHI","R","5on4",78,13606,174,256,0.83,0.84,36,14,7,1,1,6,4
"65",8478099,2022,"Kevin Labanc","SJS","R","5on4",72,5457,107,286,0.78,0.83,36,2,1,0,0,1,0
"66",8477932,2022,"Aaron Ekblad","FLA","D","5on4",71,13437,167,130,0.91,0.88,105,18,8,0,1,11,8
"67",8478055,2022,"Gustav Forsling","FLA","D","5on4",82,6244,166,211,0.82,0.85,35,5,1,0,3,2,1
"68",8480289,2022,"Morgan Barron","WPG","C","5on4",70,454,33,223,0.46,0.7,1,0,0,0,0,0,0
"69",8473986,2022,"Alex Killorn","TBL","L","5on4",82,9606,189,431,0.85,0.84,37,11,3,0,0,7,1
"70",8478493,2022,"Joel Eriksson Ek","MIN","C","5on4",78,14731,185,262,0.92,0.91,91,21,12,146,3,2,11
"71",8476913,2022,"Devin Shore","EDM","C","5on4",47,137,10,93,1,1,0,0,0,2,1,0,0
"72",8481019,2022,"David Gustafsson","WPG","C","5on4",46,313,17,127,1,1,2,0,0,4,0,0,1
