"","ID","season","name","team","position","situation","games_played","icetime","shifts","iceTimeRank","expectedGoals","corsi","shotAttempts","points","goals","faceoffsWon","takeways","giveaways","hits"
"48",8476891,2022,"Matt Grzelcyk","BOS","D","5on5",75,71905,1646,264,0.53,0.51,185,22,3,0,13,29,48
"49",8479368,2022,"Max Jones","ANA","L","5on5",69,50413,1125,460,0.42,0.42,174,19,9,10,22,18,109
"50",8476921,2022,"Jordan Martinook","CAR","L","5on5",82,65355,1426,415,0.6,0.61,284,31,11,27,38,18,78
"51",8480887,2022,"Jordan Harris","MTL","D","5on5",65,66010,1211,178,0.48,0.47,147,16,4,0,16,27,44
"52",8480806,2022,"Isac Lundestrom","ANA","C","5on5",61,43191,950,458,0.38,0.4,97,11,4,249,19,12,18
"53",8475177,2022,"Calvin de Haan","CAR","D","5on5",53,41070,881,268,0.61,0.6,151,12,2,0,15,17,79
"54",8475913,2022,"Mark Stone","VGK","R","5on5",43,37802,762,130,0.6,0.53,138,25,12,0,36,18,26
"55",8476988,2022,"Matt Benning","SJS","D","5on5",77,72872,1549,299,0.48,0.45,141,21,1,0,12,36,85
"56",8478402,2022,"Connor McDavid","EDM","C","5on5",82,80167,1534,212,0.58,0.54,306,60,33,451,56,50,78
"57",8482175,2022,"JJ Peterka","BUF","R","5on5",77,55867,1160,503,0.49,0.49,209,27,10,5,22,16,18
"58",8478500,2022,"Ivan Provorov","PHI","D","5on5",82,91924,1872,145,0.46,0.47,220,18,5,0,21,70,85
"59",8478115,2022,"Pierre Engvall","NYI","L","5on5",76,54793,1196,515,0.57,0.54,229,25,15,21,25,34,44
"60",8477507,2022,"Nikita Zadorov","CGY","D","5on5",82,78331,1903,321,0.54,0.6,253,19,13,0,28,46,151
"61",8478438,2022,"Tommy Novak","NSH","C","5on5",51,35573,738,374,0.46,0.48,107,27,11,162,23,14,7
"62",8475167,2022,"Victor Hedman","TBL","D","5on5",76,83936,1606,149,0.49,0.5,303,26,6,0,36,64,83
"63",8476326,2022,"Josh Archibald","PIT","R","5on5",62,30419,756,668,0.57,0.5,96,11,5,0,9,5,183
"64",8479390,2022,"Taylor Raddysh","CHI","R","5on5",78,61143,1261,441,0.46,0.46,176,20,12,9,32,23,77
"65",8478099,2022,"Kevin Labanc","SJS","R","5on5",72,54457,1238,431,0.53,0.54,204,29,13,5,36,25,69
"66",8477932,2022,"Aaron Ekblad","FLA","D","5on5",71,69744,1496,224,0.52,0.55,235,15,4,0,24,39,53
"67",8478055,2022,"Gustav Forsling","FLA","D","5on5",82,90144,1793,143,0.51,0.56,345,32,12,0,29,38,61
"68",8480289,2022,"Morgan Barron","WPG","C","5on5",70,47589,1095,509,0.52,0.5,170,16,7,12,16,13,114
"69",8473986,2022,"Alex Killorn","TBL","L","5on5",82,62451,1258,467,0.49,0.5,163,41,19,0,31,45,57
"70",8478493,2022,"Joel Eriksson Ek","MIN","C","5on5",78,59115,1194,480,0.53,0.5,256,33,7,416,34,9,102
"71",8476913,2022,"Devin Shore","EDM","C","5on5",47,24189,586,476,0.5,0.48,60,9,1,84,12,12,45
"72",8481019,2022,"David Gustafsson","WPG","C","5on5",46,23113,543,496,0.47,0.48,63,5,0,90,10,9,23
"73",8482110,2022,"Dawson Mercer","NJD","C","5on5",82,66136,1414,449,0.56,0.52,225,37,20,61,15,33,32
"74",8479339,2022,"Patrik Laine","CBJ","L","5on5",55,49031,973,207,0.47,0.5,201,30,13,24,22,29,25
"75",8478585,2022,"Derek Ryan","EDM","C","5on5",80,46542,1146,728,0.57,0.53,138,17,11,173,30,14,51
"76",8478507,2022,"John Marino","NJD","D","5on5",64,65899,1346,191,0.54,0.53,132,13,1,0,34,33,40
"77",8475754,2022,"Brock Nelson","NYI","C","5on5",82,69072,1544,313,0.5,0.5,260,48,24,422,40,30,46
"78",8475825,2022,"Jani Hakanp","DAL","D","5on5",82,76986,1591,316,0.5,0.47,197,14,5,0,12,41,188
"79",8481122,2022,"Simon Benoit","ANA","D","5on5",78,74258,1491,304,0.37,0.42,164,9,3,0,6,31,197
"80",8481481,2022,"Blake Lizotte","LAK","C","5on5",81,54822,1235,656,0.53,0.54,162,28,10,365,29,15,91
"81",8479992,2022,"Michael Rasmussen","DET","C","5on5",56,41302,937,340,0.51,0.46,125,21,7,156,14,7,118
"82",8475762,2022,"Derek Forbort","BOS","D","5on5",54,46152,1097,267,0.47,0.45,97,10,3,0,9,21,83
"83",8479365,2022,"Trent Frederic","BOS","C","5on5",79,53220,1255,591,0.56,0.5,181,29,16,22,23,20,105
"84",8475714,2022,"Calle Jarnkrok","TOR","C","5on5",73,49159,1156,608,0.52,0.5,159,29,16,23,16,10,43
"85",8476463,2022,"Jonas Brodin","MIN","D","5on5",60,65543,1206,131,0.52,0.52,163,10,2,0,22,20,41
"86",8478414,2022,"Timo Meier","NJD","R","5on5",78,72472,1483,185,0.57,0.55,443,36,22,20,50,53,143
"87",8480830,2022,"Andrei Svechnikov","CAR","R","5on5",64,54749,1168,224,0.61,0.61,281,33,17,3,33,38,133
"88",8470638,2022,"Patrice Bergeron","BOS","C","5on5",78,53655,1406,612,0.64,0.6,279,31,14,665,30,13,58
"89",8471686,2022,"Marc Staal","FLA","D","5on5",82,74692,1697,328,0.52,0.51,149,14,3,0,12,20,137
"90",8478399,2022,"Jonas Siegenthaler","NJD","D","5on5",80,83283,1726,245,0.55,0.53,178,19,3,0,22,35,86
"91",8478431,2022,"Evgeny Svechnikov","SJS","L","5on5",59,36329,881,529,0.46,0.48,115,14,8,5,24,17,98
"92",8474027,2022,"Justin Braun","PHI","D","5on5",51,40302,990,261,0.47,0.47,98,2,0,0,8,9,43
